Well,Wavelength (nm),Absorbance,Data Point Number,Well Number
"(3, 7)",640,0.2153,557,51
"(3, 7)",650,0.2486,558,51
"(3, 7)",660,0.2444,559,51
"(3, 7)",670,0.1757,560,51
"(3, 7)",680,0.103,561,51
"(4, 7)",580,0.2833,562,52
"(4, 7)",590,0.2245,563,52
"(4, 7)",600,0.1784,564,52
"(4, 7)",610,0.1466,565,52
"(4, 7)",620,0.1227,566,52
"(4, 7)",630,0.1087,567,52
"(4, 7)",640,0.1072,568,52
"(4, 7)",650,0.1125,569,52
"(4, 7)",660,0.1021,570,52
"(4, 7)",670,0.0697,571,52
"(4, 7)",680,0.0393,572,52
"(5, 7)",580,0.2842,573,53
"(5, 7)",590,0.2746,574,53
"(5, 7)",600,0.2793,575,53
"(5, 7)",610,0.273,576,53
"(5, 7)",620,0.2378,577,53
"(5, 7)",630,0.2098,578,53
"(5, 7)",640,0.2159,579,53
"(5, 7)",650,0.2495,580,53
"(5, 7)",660,0.2455,581,53
"(5, 7)",670,0.1771,582,53
"(5, 7)",680,0.1038,583,53
"(6, 7)",580,0.2838,584,54
"(6, 7)",590,0.2166,585,54
"(6, 7)",600,0.1625,586,54
"(6, 7)",610,0.127,587,54
"(6, 7)",620,0.1048,588,54
"(6, 7)",630,0.0915,589,54
"(6, 7)",640,0.0863,590,54
"(6, 7)",650,0.0851,591,54
"(6, 7)",660,0.0739,592,54
"(6, 7)",670,0.05,593,54
"(6, 7)",680,0.0284,594,54
"(7, 7)",580,0.2842,595,55
"(7, 7)",590,0.2737,596,55
"(7, 7)",600,0.2774,597,55
"(7, 7)",610,0.27,598,55
"(7, 7)",620,0.2351,599,55
"(7, 7)",630,0.2078,600,55
"(7, 7)",640,0.2146,601,55
"(7, 7)",650,0.2478,602,55
"(7, 7)",660,0.2438,603,55
"(7, 7)",670,0.175,604,55
"(7, 7)",680,0.1025,605,55
"(8, 7)",580,0.2842,606,56
"(8, 7)",590,0.2189,607,56
"(8, 7)",600,0.1658,608,56
"(8, 7)",610,0.1308,609,56
"(8, 7)",620,0.1081,610,56
"(8, 7)",630,0.095,611,56
"(8, 7)",640,0.0901,612,56
"(8, 7)",650,0.0897,613,56
"(8, 7)",660,0.0787,614,56
"(8, 7)",670,0.0537,615,56
"(8, 7)",680,0.031,616,56
"(1, 8)",580,0.2811,617,57
"(1, 8)",590,0.2201,618,57
"(1, 8)",600,0.1715,619,57
"(1, 8)",610,0.1383,620,57
"(1, 8)",620,0.1156,621,57
"(1, 8)",630,0.1017,622,57
"(1, 8)",640,0.099,623,57
"(1, 8)",650,0.1013,624,57
"(1, 8)",660,0.0908,625,57
"(1, 8)",670,0.0622,626,57
"(1, 8)",680,0.036,627,57
"(2, 8)",580,0.2821,628,58
"(2, 8)",590,0.2719,629,58
"(2, 8)",600,0.2761,630,58
"(2, 8)",610,0.2691,631,58
"(2, 8)",620,0.2344,632,58
"(2, 8)",630,0.2069,633,58
"(2, 8)",640,0.2134,634,58
"(2, 8)",650,0.247,635,58
"(2, 8)",660,0.2423,636,58
"(2, 8)",670,0.1744,637,58
"(2, 8)",680,0.102,638,58
"(3, 8)",580,0.2854,639,59
"(3, 8)",590,0.2186,640,59
"(3, 8)",600,0.1657,641,59
"(3, 8)",610,0.13,642,59
"(3, 8)",620,0.1072,643,59
"(3, 8)",630,0.0938,644,59
"(3, 8)",640,0.0892,645,59
"(3, 8)",650,0.0887,646,59
"(3, 8)",660,0.0774,647,59
"(3, 8)",670,0.0526,648,59
"(3, 8)",680,0.0302,649,59
"(4, 8)",580,0.2827,650,60
"(4, 8)",590,0.2732,651,60
"(4, 8)",600,0.2778,652,60
"(4, 8)",610,0.2714,653,60
"(4, 8)",620,0.2363,654,60
"(4, 8)",630,0.2085,655,60
"(4, 8)",640,0.2148,656,60
"(4, 8)",650,0.2482,657,60
"(4, 8)",660,0.2442,658,60
"(4, 8)",670,0.1757,659,60
"(4, 8)",680,0.1031,660,60
"(5, 8)",580,0.2852,661,61
"(5, 8)",590,0.2195,662,61
"(5, 8)",600,0.1673,663,61
"(5, 8)",610,0.1326,664,61
"(5, 8)",620,0.1098,665,61
"(5, 8)",630,0.096,666,61
"(5, 8)",640,0.0919,667,61
"(5, 8)",650,0.092,668,61
"(5, 8)",660,0.0812,669,61
"(5, 8)",670,0.0551,670,61
"(5, 8)",680,0.0314,671,61
"(6, 8)",580,0.284,672,62
"(6, 8)",590,0.2739,673,62
"(6, 8)",600,0.2779,674,62
"(6, 8)",610,0.2712,675,62
"(6, 8)",620,0.2359,676,62
